Rank,Country_old,Country ,Working_Age_Pop_Using_AI
,🇸🇸 South Sudan,South Sudan,6.8
,🇸🇩 Sudan,Sudan,6.8
,🇹🇿 Tanzania,Tanzania,6.8
,🇺🇬 Uganda,Uganda,6.8
,🇱🇦 Laos,Laos,6.7
,🇺🇿 Uzbekistan,Uzbekistan,6.3
,🇨🇺 Cuba,Cuba,6.1
,🇦🇫 Afghanistan,Afghanistan,5.6
,🇹🇯 Tajikistan,Tajikistan,5.6
,🇹🇲 Turkmenistan,Turkmenistan,5.6
,🇰🇭 Cambodia,Cambodia,5.1
