"Gross domestic spending on R&amp;D"
"Million US dollars, PPP converted, 2023"
"Category","Million US dollars, PPP converted"
"United States",823405.3708
"China",780677.7384
"Japan",193910.5303
"Germany",160177.4067
"Korea",134128.1451
"United Kingdom",98450.29904
"France",81029.86243
"Türkiye",42045.265
"Italy",41784.62816
"Canada",38703.2794
"Spain",32355.49009
"Israel",28347.81486
"Netherlands",27915.06411
"Poland",24416.13299
"Belgium",23745.95343
"Sweden",23000.95185
"Switzerland",22248.75858
"Austria",18561.97783
"Denmark",12064.07189
"Czechia",9364.790181
"Finland",9342.221189
"Ireland",9256.519337
"Norway",8570.103652
"Portugal",7274.179446
"Argentina",6954.074278
"Greece",5551.21627
"Hungary",5254.762873
"New Zealand",3937.050095
"Romania",3845.275674
"Slovak Rep.",2161.964308
"Croatia",2140.064314
"Slovenia",2131.968858
"Bulgaria",1623.228905
"Lithuania",1332.421855
"Estonia",1029.547394
"Luxembourg",860.0997009
"Iceland",654.9685153
"Latvia",573.877856
