"Gross domestic spending on R&amp;D"
"Million US dollars, PPP converted, 2021"
"Category","Million US dollars, PPP converted"
"United States",785607.2852
"China",665789.891
"Japan",180098.4031
"Germany",155922.1886
"Korea",119353.5336
"United Kingdom",101347.5483
"France",79112.35661
"Italy",40585.68116
"Canada",38031.29294
"Türkiye",37366.64322
"Spain",27742.09292
"Netherlands",25705.70415
"Australia",25263.77742
"Israel",23768.26336
"Belgium",23423.84252
"Switzerland",21623.61974
"Sweden",21543.95217
"Poland",21061.23797
"Austria",17804.02663
"Singapore",12349.44917
"Denmark",10738.65028
"Czechia",9646.038487
"Finland",9112.068672
"Norway",8282.0694
"Portugal",6517.393839
"Ireland",6152.506395
"Hungary",6026.165137
"Argentina",5849.829773
"South Africa",4950.510141
"Greece",4921.440886
"New Zealand",3589.351176
"Romania",3293.747687
"Slovenia",2035.51342
"Chile",1971.302713
"Slovak Rep.",1836.464039
"Croatia",1729.856102
"Bulgaria",1487.040029
"Lithuania",1357.51824
"Estonia",1025.403758
"Luxembourg",848.8003873
"Iceland",598.6694173
"Latvia",512.9455152
"Costa Rica",328.8568204
